datadate,AGG,VTI
2020-07-23,0.001174689,-0.010918728
2020-07-24,-0.000335241,-0.007745817
2020-07-27,-0.000670706,0.008605286
2020-07-28,0.000671156,-0.007313041
2020-07-29,0.001173704,0.013260505
2020-07-30,0.000753676,-0.002241808
2020-07-31,0.000418337,0.005100872
2020-08-03,0.000396211,0.00869987
2020-08-04,0.001926262,0.003952973
2020-08-05,-0.001922559,0.007278375
2020-08-06,0.00142377,0.004856713
2020-08-07,-0.001170857,0.000825176
2020-08-10,-0.000921047,0.002767969
2020-08-11,-0.002765687,-0.008046106
2020-08-12,-0.002016958,0.013380757
2020-08-13,-0.003705284,-0.000759552
2020-08-14,-0.000929766,-0.000292364
2020-08-17,0.001353669,0.00426957
2020-08-18,0.001436281,0.001514149
2020-08-19,-0.001518606,-0.003896018
2020-08-20,0.00177439,0.002860422
2020-08-21,0.001012169,0.002503102
2020-08-24,-0.000421327,0.009580733
2020-08-25,-0.002107393,0.003335836
2020-08-26,-0.000168919,0.009057047
2020-08-27,-0.003464039,0.002385946
2020-08-28,0.001356538,0.006970789
2020-08-31,0.002201356,-0.002251204
2020-09-01,0.002071618,0.008856088
2020-09-02,0.002026731,0.01336315
2020-09-03,0.000252813,-0.034760553
2020-09-04,-0.004970966,-0.008517237
2020-09-08,0.001100803,-0.028077228
2020-09-09,-8.4599E-05,0.019575294
2020-09-10,8.46061E-05,-0.016406838
2020-09-11,0.001184127,0.000354889
2020-09-14,8.44345E-05,0.015610214
2020-09-15,8.44918E-05,0.0057057
2020-09-16,-0.000506779,-0.003299799
2020-09-17,0.000253518,-0.008247652
2020-09-18,-0.001182827,-0.009721837
2020-09-21,0.000169148,-0.012064542
2020-09-22,0.000761197,0.009937166
2020-09-23,-0.002112736,-0.02412428
2020-09-24,8.46418E-05,0.002125887
2020-09-25,0.000338732,0.016025826
2020-09-28,0.000846577,0.018148052
2020-09-29,0.000169133,-0.005588636
2020-09-30,-0.001606786,0.00751304
2020-10-01,0.001369584,0.008337727
2020-10-02,-0.001016735,-0.007802926
2020-10-05,-0.003223112,0.018017532
2020-10-06,0.000850971,-0.012337134
2020-10-07,-0.000680172,0.017452663
2020-10-08,0.001276174,0.008777458
2020-10-09,0.000254897,0.008416805
2020-10-12,0.001953752,0.014831883
2020-10-13,0.000254399,-0.005279227
2020-10-14,0.000593318,-0.006648059
2020-10-15,-0.00084715,0.000337425
2020-10-16,-0.000508669,-0.001799022
2020-10-19,-0.001187543,-0.014305877
2020-10-20,-0.000849244,0.003485519
2020-10-21,-0.001189965,-0.003416415
2020-10-22,-0.001787074,0.007084849
2020-10-23,0.00144926,0.003290604
2020-10-26,0.001362016,-0.018151954
2020-10-27,0.002295369,-0.004031632
2020-10-28,-0.001441884,-0.03313477
2020-10-29,-0.001783799,0.009449772
2020-10-30,-0.002722938,-0.010605482
2020-11-02,0.001809456,0.010419726
2020-11-03,-0.000426574,0.019202309
2020-11-04,0.006656984,0.021806128
2020-11-05,0.000932604,0.020657893
2020-11-06,-0.002202224,-0.000501877
2020-11-09,-0.004668956,0.01188221
2020-11-10,-0.00162049,-0.001653912
2020-11-11,0.000597981,0.008117517
2020-11-12,0.004183433,-0.009859789
2020-11-13,0.000170011,0.014162497
2020-11-16,-8.50233E-05,0.012219016
2020-11-17,0.002040343,-0.002263409
2020-11-18,0.000678665,-0.010586619
2020-11-19,0.001865208,0.005568317
2020-11-20,0.001015509,-0.005266022
2020-11-23,-0.000253604,0.008186433
2020-11-24,-0.001352982,0.015482059
2020-11-25,-0.000338704,-0.000373112
2020-11-27,0.001694093,0.003519563
2020-11-30,0.001352918,-0.007864788
2020-12-01,-0.003158544,0.012694217
2020-12-02,-0.001103168,0.000846186
2020-12-03,0.00169913,0.002008164
2020-12-04,-0.002713996,0.010020536
2020-12-07,0.001530745,-0.001096504
2020-12-08,8.49294E-05,0.004338745
2020-12-09,-0.001443353,-0.009837086
2020-12-10,0.002465785,0.001471819
2020-12-11,0.001102606,-0.00178465
2020-12-14,-0.000593067,-0.00283938
2020-12-15,0.000593419,0.01371022
2020-12-16,-0.000423582,0.001404437
2020-12-17,-4.01668E-05,0.007843799
2020-12-18,-0.000509101,-0.002834775
2020-12-21,0,-0.002894493
2020-12-22,0.001443231,0.000207316
2020-12-23,-0.000678212,0.001710297
2020-12-24,0.000933158,0.001664986
2020-12-28,0.000169542,0.006327071
2020-12-29,0.000169449,-0.004174385
2020-12-30,0.000593067,0.002691116
2020-12-31,0.0007621,0.004593545
2021-01-04,-0.001269156,-0.014231424
2021-01-05,-0.001016628,0.008078403
2021-01-06,-0.004918605,0.008995996
2021-01-07,-0.001022628,0.01603807
2021-01-08,-0.00119433,0.004841428
2021-01-11,-0.001622843,-0.005972409
2021-01-12,0.000855492,0.003534267
2021-01-13,0.003162687,0.001106869
2021-01-14,-0.00195981,-0.000954882
2021-01-15,0.001024526,-0.00870263
2021-01-19,0.001364637,0.00913429
2021-01-20,8.51248E-05,0.012621918
2021-01-21,-0.001447779,-0.000744867
2021-01-22,0,-0.001640005
2021-01-25,0.002558661,0.00283741
2021-01-26,-0.000340289,-0.003623602
2021-01-27,8.50524E-05,-0.024012316
2021-01-28,-0.000680686,0.007860718
2021-01-29,-0.00110699,-0.01752338
2021-02-01,0.000954435,0.017062722
2021-02-02,-0.001535446,0.014343648
2021-02-03,-0.001196065,0.001498965
2021-02-04,-0.000427705,0.012672797
2021-02-05,-0.0012836,0.00561659
2021-02-08,0.001028213,0.008965762
2021-02-09,0.000427933,0.000388472
2021-02-10,0.000941141,-0.000436907
2021-02-11,-0.001196678,0.002379476
2021-02-12,-0.002310626,0.005183642
2021-02-16,-0.004717817,-0.001783268
2021-02-17,0.001982275,-0.002076056
2021-02-18,-0.000516129,-0.005757426
2021-02-19,-0.003098112,0.002287111
2021-02-22,-0.003107674,-0.009515981
2021-02-23,0.000259775,-0.000147046
2021-02-24,-0.000346298,0.011226633
2021-02-25,-0.009179852,-0.026130795
2021-02-26,0.008128596,-0.003982492
2021-03-01,-0.000522785,0.025689721
2021-03-02,0.000173814,-0.00940458
2021-03-03,-0.003648668,-0.014412872
2021-03-04,-0.002877337,-0.015821513
2021-03-05,-0.000699561,0.018053642
2021-03-08,-0.00393767,-0.004881673
2021-03-09,0.003777566,0.015517799
2021-03-10,0.001662829,0.007147495
2021-03-11,-8.73264E-05,0.013067728
2021-03-12,-0.005679845,0.001980716
2021-03-15,0.001054598,0.00699138
2021-03-16,-0.000351162,-0.004022081
2021-03-17,-8.78382E-05,0.003797936
2021-03-18,-0.003864416,-0.018199248
2021-03-19,0.000793546,0.001268266
2021-03-22,0.001938166,0.005407779
2021-03-23,0.00254984,-0.01138727
2021-03-24,0.001227916,-0.008283514
2021-03-25,-0.000525624,0.007372076
2021-03-26,-0.001665161,0.01634264
2021-03-29,-0.001668005,-0.004698025
2021-03-30,0.000791385,-0.000291959
2021-03-31,0.000175769,0.006084501
2021-04-01,0.003357657,0.012530825
2021-04-05,-0.002016866,0.011659034
2021-04-06,0.003514643,0.000377866
2021-04-07,-0.001576047,-0.000849896
2021-04-08,0.002455483,0.005812357
2021-04-09,-0.001137234,0.006060574
2021-04-12,-0.000262732,0.000280179
2021-04-13,0.002890949,0.002801149
2021-04-14,-0.000786198,-0.002234617
2021-04-15,0.003933884,0.010638292
2021-04-16,-0.00261229,0.002539187
2021-04-19,-0.000785786,-0.00653925
2021-04-20,0.001572742,-0.00917812
2021-04-21,0.000959615,0.011929839
2021-04-22,0.00026145,-0.007813234
2021-04-23,-0.000174232,0.012115028
2021-04-26,-0.000871446,0.003637002
2021-04-27,-0.002442205,-0.000458744
2021-04-28,0.000524592,-0.000137672
2021-04-29,-0.000524317,0.00380962
2021-04-30,0.001049183,-0.007315916
2021-05-03,0.000633911,0.001750298
2021-05-04,0.001223878,-0.007494894
2021-05-05,0.000785855,-0.000185353
2021-05-06,0.00017446,0.005097105
2021-05-07,-0.000261678,0.008482764
2021-05-10,-0.001570546,-0.011748604
2021-05-11,-0.002184742,-0.008048804
2021-05-12,-0.003503254,-0.022523791
2021-05-13,0.00228513,0.011020455
2021-05-14,0.002279921,0.017081894
2021-05-17,-0.000874944,-0.002134135
2021-05-18,-0.001225914,-0.007811084
2021-05-19,-0.001402736,-0.002905319
2021-05-20,0.003424051,0.010856272
2021-05-21,0.000437444,-0.000557883
2021-05-24,0.000962048,0.010094423
2021-05-25,0.002446539,-0.002763222
2021-05-26,-0.000348653,0.003602171
2021-05-27,-0.001220676,0.001840576
2021-05-28,0,0.001699408
2021-06-01,-0.000463721,0.000412657
2021-06-02,0.001312005,0.001329217
2021-06-03,-0.002358528,-0.004439975
2021-06-04,0.004115237,0.008689652
2021-06-07,-0.000697609,0.000820493
2021-06-08,0.001832453,0.002049446
2021-06-09,0.002003339,-0.002817973
2021-06-10,0.002086212,0.004421155
2021-06-11,-0.000433687,0.002949626
2021-06-14,-0.002516714,0.001538306
2021-06-15,0.00043497,-0.002620175
2021-06-16,-0.003217629,-0.004982363
2021-06-17,0.003140818,-0.000955897
2021-06-18,0.0026961,-0.012393499
2021-06-21,-0.00260216,0.013794719
2021-06-22,0.001043593,0.005688541
2021-06-23,-0.000521219,-0.000407311
2021-06-24,0.000347617,0.00676916
2021-06-25,-0.001998399,0.003743469
2021-06-28,0.002873079,0.001123343
2021-06-29,0.000520857,4.48586E-05
2021-06-30,0.000694159,4.49251E-05
2021-07-01,-0.000559171,0.005430354
2021-07-02,0.002171836,0.005534998
2021-07-06,0.003207375,-0.002175192
2021-07-07,0.001728134,0.001334652
2021-07-08,0.001121343,-0.008441484
2021-07-09,-0.003274145,0.012097914
2021-07-12,-0.000605115,0.002789045
2021-07-13,-0.002162443,-0.005562644
2021-07-14,0.003380716,-0.001376238
2021-07-15,0.002159827,-0.003512086
2021-07-16,-0.000862056,-0.00785186
2021-07-19,0.005263163,-0.014209288
2021-07-20,-0.00094413,0.017287819
2021-07-21,-0.003264647,0.008967806
2021-07-22,0.002327222,0.00084438
2021-07-23,-0.000687951,0.009990675
2021-07-26,-0.000860498,0.002022296
2021-07-27,0.002325352,-0.005396612
2021-07-28,0.000945185,0.001543918
2021-07-29,-0.001630997,0.00440451
2021-07-30,0.001375718,-0.005919974
2021-08-02,0.00211785,-0.001411652
2021-08-03,0.000343238,0.007156471
2021-08-04,-8.57963E-05,-0.004473899
2021-08-05,-0.002230438,0.007137486
2021-08-06,-0.004470782,0.001224895
